stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699720881139,5611,Pont Rocade,43.5921,1.40016,0,1970324837184873,1
3377699720881140,5610,Pont Rocade,43.5922,1.39999,0,1970324837184873,1
3377699720881141,6961,Teynier,43.5926,1.39612,0,1970324837184874,1
3377699720881142,6960,Teynier,43.5928,1.39575,0,1970324837184874,1
3377699720881143,941,Tissié,43.5932,1.39395,0,1970324837184875,1
3377699720881144,940,Tissié,43.5935,1.39294,0,1970324837184875,1
3377699720881145,19740,Cimetière Cornebarrieu,43.6409,1.33082,0,1970324837184876,1
3377699720881146,19380,Buette,43.6502,1.34169,0,1970324837184877,2
3377699720881147,1110,Centre Aéré,43.5925,1.38806,0,1970329131941942,1
3377699720881148,1111,Centre Aéré,43.593,1.38967,0,1970329131941942,1
3377699720881149,2290,Eglise Lardenne,43.5909,1.3832,0,1970324837184879,1
3377699720881150,2291,Eglise Lardenne,43.5911,1.38433,0,1970324837184879,2
3377699720881152,1051,Catala,43.5904,1.38038,0,1970324837184881,2
3377699720881153,1050,Catala,43.5904,1.38027,0,1970324837184881,2
3377699720881154,6510,Poutier,43.5913,1.3778,0,1970324837184882,2
3377699720881155,6511,Poutier,43.5914,1.37773,0,1970324837184882,1
3377699720881156,6521,Salinié,43.5931,1.37979,0,1970324837184883,2
3377699720881157,6520,Salinié,43.5933,1.38011,0,1970324837184883,2
3377699720881159,19781,République,43.6836,1.32005,0,1970324837184884,1
3377699720881163,2200,Ecole Police et Cadastre,43.5953,1.38244,0,1970324837184886,1
3377699720881164,2201,Ecole Police et Cadastre,43.5945,1.38174,0,1970324837184886,2
3377699720881167,15330,St-Exupéry,43.5886,1.35935,0,1970324837184889,1
3377699720881168,15331,St-Exupéry,43.5885,1.35954,0,1970324837184889,2
3377699720881171,40100,Esquirol,43.6004,1.44412,0,1970324837184892,1
3377699720881172,40101,Esquirol,43.6004,1.44413,0,1970324837184892,1
3377699720881173,2431,Esquirol,43.6005,1.44393,0,1970324837184892,1
3377699720881174,2430,Esquirol,43.6004,1.4447,0,1970324837184892,1
3377699720881180,11281,Ecole Récébédou,43.5389,1.40857,0,1970324837184893,2
3377699720881181,11280,Ecole Récébédou,43.5387,1.40828,0,1970324837184893,1
3377699720881185,2350,Eisenhower,43.5583,1.40144,0,1970324837184895,1
3377699720881186,2351,Eisenhower,43.5581,1.40156,0,1970324837184895,1
3377699720881187,5440,Place Bouillère,43.5659,1.39497,0,1970324837184896,1
3377699720881188,5442,Place Bouillère,43.5668,1.3938,0,1970324837184896,2
3377699720881189,5441,Place Bouillère,43.5657,1.39449,0,1970324837184896,1
3377699720881190,5443,Place Bouillère,43.5676,1.39295,0,1970324837184896,1
3377699720881191,5592,Pont Neuf,43.5993,1.44043,0,1970324837184897,1
3377699720881192,5595,Pont Neuf,43.5991,1.44049,0,1970324837184897,1
3377699720881193,5591,Pont Neuf,43.5999,1.4415,0,1970324837184897,1
3377699720881194,5590,Pont Neuf,43.5997,1.44091,0,1970324837184897,1
3377699720881197,11260,Salengro,43.5415,1.41109,0,1970324837184899,2
3377699720881198,11261,Salengro,43.5415,1.41122,0,1970324837184899,2
3377699720881199,4312,Cité Scolaire Rive Gauche,43.5842,1.39971,0,1970324837184900,2
3377699720881200,4310|4314,Cité Scolaire Rive Gauche,43.5844,1.40005,0,1970324837184900,1
3377699720881201,4313,Cité Scolaire Rive Gauche,43.5844,1.4002,0,1970324837184900,1
3377699720881204,4770,Mesplé,43.5701,1.38658,0,1970324837184901,1
3377699720881205,4771,Mesplé,43.5703,1.38646,0,1970324837184901,1
